id;text;label;predict_proba;predict_label;lime_weights
411;Near the hotel I stayed in, reachable by foor, so many food choice here, the place is huge, and fun;positive;[0.016437130781698683, 0.0084666009579878, 0.9750962682603136];positive;{'negative': [('place', -0.08381198719600721), ('here', -0.07707782312944295), ('hotel', 0.05835177323344346), ('fun', -0.05362133723381457), ('the', -0.052845332003528964), ('by', -0.045211152702406325)], 'neutral': [('food', -0.07419344845329588), ('fun', -0.07185883154904518), ('place', -0.06902509279862325), ('and', -0.06740836328083863), ('the', -0.06467989255136884), ('by', 0.061836560578530646)], 'positive': [('place', 0.1374658663427411), ('fun', 0.11002432758369127), ('here', 0.1066359334769295), ('the', 0.10568701315239853), ('and', 0.08718013718866208), ('food', 0.0840412660945949)]}
729;Yeah that's right, he's looking after the store now;neutral;[0.6223638250824591, 0.32269671207682477, 0.054939462840716206];negative;{'negative': [('now', 0.18799116962704437), ('looking', -0.18705966562699383), ('Yeah', 0.17607636452026992), ('after', 0.07143017781837296), ('that', 0.05179900650568065), ('right', -0.03203228172201297)], 'neutral': [('looking', 0.19146835581526675), ('Yeah', -0.14911717465760493), ('now', -0.10162891521213374), ('the', -0.06951527394107199), ('after', -0.06549239860025563), ('that', -0.045812864825737425)], 'positive': [('now', -0.0838586533171437), ('right', 0.05999709467423389), ('the', 0.042677144107592185), ('he', -0.04041994715159118), ('Yeah', -0.025129598818373643), ('that', -0.0048303165635773335)]}
373;The water spinach was alright but the crab with Padang sauce was disappointing. We were given a hollow crab. In the end we decided not to eat the crab and returned it.;negative;[0.8571605213690838, 0.09494110495403033, 0.04789837367688599];negative;{'negative': [('was', 0.251304657123325), ('not', 0.07946454728055065), ('disappointing', 0.07094110878359468), ('and', 0.06283455472587701), ('alright', -0.05141044607391719), ('crab', -0.04510603761053648)], 'neutral': [('was', -0.19311323296577138), ('the', -0.08118533604112485), ('and', -0.07995875642072336), ('crab', 0.07840675834701773), ('alright', 0.04598074044047781), ('disappointing', -0.04239534547389535)], 'positive': [('was', -0.06094107229569756), ('the', 0.03821798334292235), ('not', -0.03793721234773698), ('crab', -0.03440074330395883), ('with', 0.030443374653372244), ('disappointing', -0.027262627932326134)]}
262;Located inside the Braga City Walk, which is in the same building as Aston and Fave Hotel, this is the perfect hangout spot. The coffee-tea mix that I tried for the first time was actually amazing. Combined with a sunny-side up egg and you got yourself the perfect meal for chatting with your friends. The smoke-free zone just adds to the comforting feeling as you watch the view of people coming and going in this mall;positive;[0.01778837042106431, 0.005000346553831395, 0.9772112830251042];positive;{'negative': [('the', -0.0690145756354083), ('perfect', -0.0647969291936501), ('with', -0.042126118138200316), ('and', -0.03625737513494114), ('you', -0.03176081559877842), ('amazing', -0.030692888737720934)], 'neutral': [('the', -0.06926841449432583), ('and', -0.06672384702731704), ('this', -0.035703533194096145), ('perfect', -0.035466281151784164), ('is', -0.03134492302847738), ('The', -0.024175578049640007)], 'positive': [('the', 0.14202244501019676), ('and', 0.10767193432555078), ('perfect', 0.10569196327646194), ('with', 0.06762843889230188), ('amazing', 0.05142165344343987), ('spot', 0.04883663401894598)]}
177;Gianyar recieved a total 44,9 billion Rupiah from government support in 2018;neutral;[0.16601904663934872, 0.8158049507447331, 0.018176002615918122];neutral;{'negative': [('in', -0.07019035818527164), ('total', 0.06038894732617785), ('billion', -0.05575383660183421), ('2018', 0.04836432090447867), ('Rupiah', -0.025448577777010758), ('from', -0.01523908192046908)], 'neutral': [('in', 0.07484589839684574), ('total', -0.06092189797055265), ('billion', 0.06043668145328503), ('2018', -0.046762967495953045), ('Rupiah', 0.02975153290331472), ('from', 0.011948883637058115)], 'positive': [('billion', -0.004522640985765196), ('in', -0.004474238415923923), ('Rupiah', -0.004111204900796594), ('from', 0.003491274588066379), ('government', -0.0020412693946897033), ('2018', -0.0013679316170220137)]}
560;This is an example of a useless generation. Rather than being beneficial for our country, it instead becomes something that threatens it! Great job, just arrest them using UU ITE;negative;[0.6167221595357886, 0.25379647891494767, 0.12948136154926368];negative;{'negative': [('This', 0.12545205422990488), ('job', -0.1123236802137629), ('useless', 0.10749585376018837), ('them', 0.10290248319136887), ('being', 0.0930035263914178), ('country', -0.07436196372023793)], 'neutral': [('This', -0.15510149839881135), ('job', 0.1303614301653474), ('is', -0.10502814642864432), ('it', -0.09134817113076091), ('country', 0.09102411924541044), ('useless', -0.08112698161312615)], 'positive': [('Great', 0.11018949249947077), ('than', 0.05136126652945159), ('them', -0.040265389076848186), ('using', -0.03673116639203986), ('useless', -0.03523850154508548), ('becomes', -0.034099003047878065)]}
834;Good afternoon friends, we are currently conducting a maintenance, so the app is currently inaccessable.;neutral;[0.4851388835091686, 0.03848076240584071, 0.4763803540849907];negative;{'negative': [('so', 0.24006645710689756), ('app', -0.13226887984365884), ('the', -0.09163145892475279), ('afternoon', 0.08216589879701662), ('we', 0.07897882624200322), ('friends', -0.07806296344616628)], 'neutral': [('Good', -0.12339551843269712), ('so', -0.10611795044688072), ('is', -0.08256219893398008), ('friends', 0.0710002057677), ('are', -0.05950032928075403), ('the', -0.0517022630760027)], 'positive': [('Good', 0.16048652517677242), ('the', 0.144562235060294), ('so', -0.13282437430640684), ('we', -0.11387564965894262), ('is', 0.10746816940739422), ('app', 0.09414716136512791)]}
619;True, we are indeed weak, I'm also actually a scaredy-cat.;negative;[0.4019446995860698, 0.5641910062514641, 0.03386429416246628];neutral;{'negative': [('actually', 0.1789789993299219), ('are', 0.11289245872421591), ('also', -0.10390304742377567), ('True', -0.07836371464885855), ('scaredy', 0.06275445546464907), ('indeed', -0.049091014584099604)], 'neutral': [('actually', -0.16245643908619437), ('are', -0.14234190628524973), ('True', 0.1225417724311832), ('indeed', 0.09688043862097742), ('also', 0.0637947914488593), ('scaredy', -0.0497818030942134)], 'positive': [('indeed', -0.04738974929902836), ('True', -0.044043701330427454), ('also', 0.039928347069416635), ('are', 0.029267365853756104), ('actually', -0.016750580988360585), ('we', -0.015860390392048347)]}
874;Last time I was in Hanamasa the price was 120 thousand / person. But I think you'll get more than your money's worth. You can pick all the food you want, and the taste won't disappoint, you can even mix and match your own ideal meal. If you love beef, you'll love it here;positive;[0.16392922975913582, 0.2784881575543451, 0.557582612686519];positive;{'negative': [('you', -0.17746843878266813), ('was', 0.13608958802737878), ('can', -0.08147377065858742), ('love', -0.06291176812368043), ('even', 0.05435174402010677), ('here', -0.05246172244661871)], 'neutral': [('you', 0.20079906888933657), ('and', -0.1783725438820476), ('was', -0.15633784669062692), ('the', -0.12311610949805572), ('food', -0.10121012140720229), ('ll', 0.0993711815232705)], 'positive': [('and', 0.15674397464062106), ('the', 0.1445011912543251), ('can', 0.10492540363893454), ('here', 0.09591534714369375), ('120', -0.07177839378857594), ('food', 0.07113434252353511)]}
336;Getting to The Peak might feel so far away from the city centre of Bandung, and the access can be rather confusing, especially the small road with lots of twists and turns. However, your chances of being lost is slim because there are signages in almost every turn leading up to The Peak. The place is very good for those looking for a romantic night vibe, with a breathtaking view of the city at night. ;positive;[0.05133911228650403, 0.005640720728194207, 0.9430201669853017];positive;{'negative': [('the', -0.08302032389169987), ('romantic', -0.08144856195048614), ('with', -0.07851391238523768), ('place', -0.07358315168552641), ('The', -0.06669161403075842), ('Peak', 0.05758312925805165)], 'neutral': [('and', -0.04018296414863519), ('the', -0.03663226205028512), ('good', -0.02885195116741144), ('is', -0.02867575363835391), ('The', -0.027932169820878913), ('place', -0.02180643252100035)], 'positive': [('the', 0.1101594917920178), ('romantic', 0.09441730895372039), ('place', 0.08850722281906845), ('and', 0.08726172011219427), ('with', 0.08536643691573594), ('The', 0.08387845750038916)]}
